[00:00:00 - 00:06:44]:  Esta semana Ricardo Arouspreira declara-se arrendado.
[78:01:44 - 78:11:28]:  E agora, quando uma pessoa não só não pede reitradamente amor, mas pede para não amatar,
[78:11:28 - 78:16:48]:  e também deve ser respeitado a sua vontade de matar uma referência.
[78:16:48 - 78:26:20]:  E a alguma reflexão sobre o sufrimento estremamente de Camilo Castelo Branco, porque isso
[78:26:20 - 78:30:28]:  também é uma reflexão muito a sua vida.
[78:30:28 - 78:38:04]:  Há-se, senhor, e eu... eu acho que é tão legal para todos os sufrimentos.
[78:38:04 - 78:41:24]:  Eu estou a todos e isso, mas não.
[78:41:24 - 78:47:04]:  Eu podia ter resolveu problema de uma forma menos que a gente...
[78:47:04 - 78:48:44]:  A fria foi sopra.
[78:48:44 - 78:52:36]:  Mas o ávoo foi mais sopra, mas o ávoo foi tão legal.
[78:52:36 - 78:54:52]:  Você é muito fácil, né?
[78:54:52 - 79:02:28]:  Porque o ámã, enquanto eu estava, não tivesse a ter gostado do cano, a tempo.
[79:02:28 - 79:04:08]:  E o outro...
[79:04:08 - 79:12:24]:  Mas a atenção, além disso, além de tudo mais, o que é ser o Ocupino de Sante faz um trabalho,
[79:12:24 - 79:21:32]:  muito de contextualização, e, além de tudo isso que eu já referi, também há pequenas
[79:21:32 - 79:26:52]:  notas preambulares em cada um dos teis descolidos.
[79:26:52 - 79:33:32]:  Um dos problemas é, obviamente, saber na obra de Camilo, quais são os teis que são,
[79:33:32 - 79:40:12]:  que contam como curto, ou seja, que são contos inovelas.
[79:40:12 - 79:49:24]:  Depois, quem não tiver o mesmo, quem não tiver assim tanto fólogo, por coincidência
[79:49:24 - 79:58:08]:  saiu agora mesmo ao mesmo tempo, é esta antologia, que a amantologia feita por José
[79:58:08 - 80:07:12]:  Vial Moutinho, e tudo o que se disse sobre a erudição e o entusiasmo camilhendo do Ocupino de Sante
[80:07:12 - 80:15:04]:  pode dizer-se exatamente igual de José Vial Moutinho, que eu não conheço aliás, mas que
[80:15:04 - 80:20:56]:  sempre o que o vejo e o ex falar, tranquiliza-me.
[80:20:56 - 80:25:56]:  É uma presença tranquilizadora, e é...
[80:25:56 - 80:33:44]:  E tem trabalhado sucessivamente, em verdade, na obra de Camilo.
[80:33:44 - 80:43:00]:  Exatamente, e algumas destes também já estão aqui, outros estarão nos próximos volumes,
[80:43:00 - 80:50:32]:  em várias das novelas do Minha, etc. O José Vial Moutinho, além de organização e parafácil,
[80:50:32 - 80:58:00]:  também faz assim como o que pincencentes, notas priembolares, especificamente para cada
[80:58:00 - 81:00:20]:  texto, porque é uma maravilha.
[81:00:20 - 81:09:32]:  Eu tenho a sensação de uma vez ter lido ser amago, dizer que há noite, ali há cinco páginas
[81:09:32 - 81:17:28]:  do Pára António Vieiro, assim, eu acho um excelente dieta, também pode...
[81:17:28 - 81:19:08]:  Camilo também funciona.
[81:19:08 - 81:24:08]:  Talvez agora não, que já é tarde, mas há manhã noite.
[81:24:08 - 81:32:04]:  Camilo em duas novas edições, a sugestão de leitura a fechar mais uma regineo
[81:32:04 - 81:39:40]:  humanal, dois ou três dias, mais ou menos a mesma hora, no Governo de Sombra, pedrem
[81:39:40 - 82:13:48]:  o que é o Mígata Vars e Ricardo Ospre.
[82:13:48 - 82:30:28]:  [Música]
