[00:00:00 - 00:06:20]:  Esta semana João Miguel Tavares soltou uma exclamação.
[81:51:30 - 82:28:10]:  É uma comédia, é uma comédia com estes ingredientes, juntam sextos ingredientes e dá um romance comico, o que é uma coisa quase indecritiva e, de facto, é um romance mais divertido, acho que eu conheço do Andalilo, porque tudo estão três locados e todas as teorias são tão variáveis, o que é o Ifeite é comico.
[82:28:10 - 82:41:30]:  O Ricardo Roussperer traz uma grande autora canadiana no caso, a Margarita neste caso com não ficção.
[82:41:30 - 82:54:50]:  Não ficção se dizem o livro "Se costumam escaldantes", as vezes as costumas não são assim tão escaldantes, mas as opiniões pelos vistos às vezes caldão, chamam-se "Cistões escaldantes".
[82:54:50 - 83:18:10]:  São em saís outros textos de persos, a Margarita, a tua famosa autora do Handmade Style, também subscreveu aquela carta da Harper, que ela retava por um certo clima de intolerância e tem altura.
[83:18:10 - 83:34:50]:  Exatamente, e censura, portanto ela sabe qualquer coisa sobre tentações autoritárias, que é a cheirar quando as vê e foi por isso que fez.
[83:34:50 - 83:48:10]:  O livro, até alguns textos famosos com este que o Pedro referiu, um que se chamado "Sulma Mafemista", onde tem derrugação.
[83:48:10 - 84:16:30]:  E um outro, e por exemplo, este texto que se chama "O escritor enquanto agente político a sério", em que ela diz, "Jogar um romance pela justesa das causas que defenda, pela retirão das posições políticas que assume, e que vala ceder ao mesmo tipo de pensamento que conduza a censura".
[84:16:30 - 84:33:10]:  E não é com dos mesmos? E esse é conclui mais uma reunião humanal, de hoje, de dia, a mesma hora, o que com sempre em podcast, peda-me xia, João Miguel Tavares e Ricardo Baraú, o Espreira.
[84:33:10 - 84:49:50]:  [Música]
[84:49:50 - 85:24:50]:  [Música]
