[00:00:00 - 00:14:00]:  Esta semana João Miguel Tavares declarasse-se meiestro, Ricardo Braux Pereira-Sente-Scanalizador
[81:00:02 - 81:05:22]:  que já tinha afirmada pelo Marques em Morteodox, e ele é o Bobzbaum, é uma de uma de uma de
[81:05:22 - 81:14:26]:  portodox, mas é um liberal e mais comprometo romanejico, porque são histórias e de sete.
[81:14:26 - 81:17:46]:  Falta oito de fudaro Zé do Teleave.
[81:17:46 - 81:19:26]:  É verdade, é verdade.
[81:19:26 - 81:21:06]:  O Ricardo Rousspreira.
[81:21:06 - 81:22:46]:  O Eduardo Polito.
[81:22:46 - 81:24:26]:  E o Manuel Polito.
[81:24:26 - 81:33:10]:  O Ricardo Rousspreira apresentando um livro que não já alerta para uma nova era.
[81:33:10 - 81:44:30]:  Ele é, na Lerta, o Estautor, o Gilo de Ipovets, que ele em 1983 tinha escrito um livro chamado
[81:44:30 - 81:52:38]:  a Era do Vasil, em 1993, dez anos depois quando eu andava na Faculdade, o livro não estava
[81:52:38 - 81:58:46]:  na moda e fazia parte da bibliografia de vários cursos universitários.
[81:58:46 - 82:05:02]:  E agora, ele apresenta nos estes novas era do Kits.
[82:05:02 - 82:06:42]:  São muitas eras, né?
[82:06:42 - 82:09:38]:  E num curso de um espaço de tempo.
[82:09:38 - 82:12:54]:  A Simpermeu inventou eras, ó Gilo.
[82:12:54 - 82:24:38]:  Mas, ele escreveu com este seu amigo Janso Rua, e é uma coisa curiosa porque...
[82:24:38 - 82:32:18]:  Lá está, a gente pode dizer que este, o Gilo, ele pode ver o que fazer, ele te atam um padrão,
[82:32:18 - 82:36:06]:  e depois diz "espera, este é uma era, este é uma era".
[82:36:06 - 82:38:50]:  E depois, este é o primeiro problema.
[82:38:50 - 82:42:58]:  E depois, quando o problema é que ele te atam a olhar...
[82:42:58 - 82:44:38]:  Não pode destruir.
[82:44:38 - 82:47:58]:  Começá, olharem e começá de te atar.
[82:47:58 - 82:55:34]:  O padrão, em todo lado, comece como quando a gente comprou um carro novo e rependo com
[82:55:34 - 82:57:14]:  essa ave lá em todo lado.
[82:57:14 - 83:00:26]:  E pronto, são...
[83:00:26 - 83:03:06]:  Acaba por ser...
[83:03:06 - 83:13:42]:  Eles procedem a uma declinação do Kits em todas as suas formas, muitas austivamente,
[83:13:42 - 83:17:42]:  é, normalmente, tiveram entre tidos.
[83:17:42 - 83:21:02]:  É não veras...
[83:21:02 - 83:27:02]:  Descrito como recomem, é uma recomemação do amigo.
[83:27:02 - 83:30:22]:  Vai descorrer do meu tido.
[83:30:22 - 83:33:42]:  O meu cinta é, o meu cibero, o meu tido.
[83:33:42 - 83:42:02]:  Vai descorrer do meu cabe, mas diz "bama, olha, tiveram uma pensada essa vez, na surpreendentionalmente".
[83:42:02 - 83:50:14]:  O Kits terminamos, está concluída mais de uma rinia, o Semanául, hoje há o mesmo
[83:50:14 - 83:58:38]:  hora, os mesmos de sempre, pedram-me que as homengal está avar e Ricardo Brouos Pereira.
[83:58:38 - 84:00:18]:  Também é podcast.
[84:00:18 - 84:48:38]:  [Música]
[84:48:38 - 85:06:02]:  Pode não estar científicamente comprovado, mas sabemos que a performance faz parte de todas
[85:06:02 - 85:16:42]:  as conversas, seja, aqui, é debatir atualidade, o entre-migo-os a falar de carros.
[85:16:42 - 85:27:46]:  E quando a cupra entra na discussão, só se fala, no meu performance, fora de série.
[85:27:46 - 85:36:30]:  Então, eles mantem todos os estinos e, pronta, para desafiar a qualquer instinto.
[85:36:30 - 85:39:50]:  É adrenalina total.
[85:39:50 - 85:44:50]:  É típico de performance de um cupra.
[85:44:50 - 85:54:50]:  Sinta-se vivo e a sler para onde quiser, seja imitual ou elétrico, é sempre eletrizente.
[85:54:50 - 86:06:30]:  Ah, só falta dizer que o episódio que seque, mantém a performance habitual carregada de
[86:06:30 - 86:08:10]:  pão-umbo.
[86:08:10 - 86:11:30]:  Pão programa.
