[00:00:00 - 00:11:08]:  Esta semana recartera aos prédios sentidos apoiado. João Miguel Tavares sentidos muito só.
[76:16:40 - 76:23:20]:  que ainda há no mundo, e isso é uma lição muito importante, pode descorrer.
[76:23:20 - 76:35:00]:  Hoje, o Pedro Mecê traz um livro autobio gráfico de um grande fixo e unista americana.
[76:35:00 - 76:41:40]:  Sim, não, um contista e uma cista rechartoforda, onde ele fica chamando entre eles,
[76:41:40 - 76:55:00]:  são dois ensaios autobidráficos sobre os pais, sobre a mãe escrito logo após a morte da mãe,
[76:55:00 - 77:00:00]:  nos anos 80, e sobre o pai escrito décadas após a morte do pai.
[77:00:00 - 77:08:20]:  E chama-se entre eles porque ele sente que no fundo que foi um filho único e filho de terdio,
[77:08:20 - 77:18:20]:  e sente que no fundo foi sempre um intruso naquela relação de amor entre aquelas duas pessoas.
[77:18:20 - 77:26:40]:  E é um livro muito, é um grande desafio, este livro porque é um livro sobre a banalidade,
[77:26:40 - 77:35:00]:  as coisas que aconteceu sobre os pais são coisas absolutamente, não é uma infância traumática,
[77:35:00 - 77:50:00]:  os pais tiveram vidas banais, corriqueiras, não há grandes, não há grandes cenas, não há grandes pessoas,
[77:50:00 - 78:00:00]:  e ele tira daí, isso é que é o interessante, ele tira dessa experiência que teve com os pais,
[78:00:00 - 78:10:00]:  a sua visão do mundo para entender as suas personagens, as personagens de ficção,
[78:10:00 - 78:21:40]:  sobretudo uma ideia de o atiociso, o atiogate, de aceitar as coisas com um são,
[78:21:40 - 78:31:40]:  de não presumir conhecer as pessoas, etcétera, é uma ligação muito interessante para quem conhece a ficção do Richard Ford.
[78:31:40 - 78:38:20]:  O Ricardo Raúse Pereira traz um livro premiado esta semana.
[78:38:20 - 78:50:00]:  Exatamente, o que houve na barricada esmaçã foi o livro com que esta semana o Mario de Carvalho ganhou o grande prêmio de crônica
[78:50:00 - 79:00:00]:  e cada acessão portuguesa de escritores, prêmio de... - Chrônica e... - Esperço literário. - Literários.
[79:00:00 - 79:11:40]:  - Um prêmio que dois elementos deste painel já venceram os dois elementos dos painelos deste painel,
[79:11:40 - 79:21:40]:  dois dos três que escrevem em crônica. - Vergonha para os outros dois membros deste painel,
[79:21:40 - 79:30:00]:  mas o prêmio pelos vistas da semana, eles mudaram as regras, assim, como a sua ser atribuída,
[79:30:00 - 79:35:00]:  a gente que merece mesmo. - É verdade, é uma anuvidade.
[79:35:00 - 79:45:00]:  - E portugues. - Eu não sei quem eram os dois livros concorrentes, mas estou disposto a garantir que o Mario de Carvalho merecia.
[79:45:00 - 79:55:00]:  - Não, a gente é assim que acontece. É um livro em que... - Que dois vezes. - É um livro... - Exatamente, não, não, não.
[79:55:00 - 80:00:00]:  - É assim que quando é isso? - É isso que quando o Mario de Carvalho ganha.
[80:00:00 - 80:03:20]:  - É isso que quando o Mario de Carvalho ganha. - É isso que quando o Mario de Carvalho ganha.
[80:03:20 - 80:15:00]:  E é um livro de... As pessoas, normalmente, conhecem o Mario de Carvalho como romancista e contista também.
[80:15:00 - 80:21:40]:  - Estes são crônicas... - Estes são... - Trá de que as antigas publicadas, mas já até é...
[80:21:40 - 80:31:40]:  Mas lá está... São crônicas antigas das quais se pode dizer aquilo que se diz sempre, que é...
[80:31:40 - 80:38:20]:  Podiam ter sido escritas ontem. Porque há uma coisa que os grandes escritas fazem e não sabem como...
[80:38:20 - 80:55:00]:  que é como olhar, perspicar-se e digamos, é minucioso, conseguem descobrir coisas que são que se revelam em temporais.
[80:55:00 - 81:05:00]:  E portanto há aqui coisas que nós lemos e percebemos que são antigas, mas são em que é atentemente atuais.
[81:05:00 - 81:11:40]:  Além de que é praus a do Mario de Carvalho é sempre a maravilha do que estu.
[81:11:40 - 81:23:20]:  - O que eu vi na barriga das Massas de Mario de Carvalho, premiado esta semana com o grande prêmio de crônica,
[81:23:20 - 81:33:20]:  assim está concluída mais uma rinhos humanal, hoje eu tenho um governo de sombra, pedra-mexia, João Mikáltavárez e Ricardo Raúche Pereira.
[81:35:00 - 82:20:00]:  [Música]
