[00:00:00 - 00:02:08]:  Hora muito bom dia!
[68:09:48 - 68:11:28]:  - Exatamente.
[68:11:28 - 68:14:48]:  - Eu não sei se o "Jualneto" tem mais inimigos, espero que não,
[68:14:48 - 68:23:08]:  mas agora tem que a minha aberto para ele fazer mal e depois dizer que é que é parcecido ou outro.
[68:23:08 - 68:24:48]:  - Espero que...
[68:24:48 - 68:26:28]:  - Espero que isto...
[68:26:28 - 68:28:08]:  - Espero que esteja na vida.
[68:28:08 - 68:29:48]:  - Espero que esteja na vida.
[68:29:48 - 68:31:28]:  - Eu espero que esteja na vida.
[68:31:28 - 68:33:08]:  - Eu espero que esteja na vida.
[68:33:08 - 68:34:48]:  - Eu espero que esteja na vida.
[68:34:48 - 68:36:28]:  - Eu espero que esteja na vida.
[68:36:28 - 68:38:08]:  - Eu espero que esteja na vida.
[68:38:08 - 68:39:48]:  - Eu espero que esteja na vida.
[68:39:48 - 68:41:28]:  - Eu espero que esteja na vida.
[68:41:28 - 68:43:08]:  - Eu espero que esteja na vida.
[68:43:08 - 68:44:48]:  - Eu espero que esteja na vida.
[68:44:48 - 68:46:28]:  - Eu espero que esteja na vida.
[68:46:28 - 68:48:08]:  - Eu espero que esteja na vida.
[68:48:08 - 68:49:48]:  - Eu espero que esteja na vida.
[68:49:48 - 68:51:28]:  - Eu espero que esteja na vida.
[68:51:28 - 68:53:08]:  - Eu espero que esteja na vida.
[68:53:08 - 68:54:48]:  - Eu espero que esteja na vida.
[68:54:48 - 68:56:28]:  - Eu espero que esteja na vida.
[68:56:28 - 68:58:08]:  - Eu espero que esteja na vida.
[68:58:08 - 68:59:48]:  - Eu espero que esteja na vida.
[68:59:48 - 69:01:28]:  - Eu espero que esteja na vida.
[69:01:28 - 69:03:08]:  - Eu espero que esteja na vida.
[69:03:08 - 69:04:48]:  - Eu espero que esteja na vida.
[69:04:48 - 69:06:28]:  - Eu espero que esteja na vida.
[69:06:28 - 69:08:08]:  - Eu espero que esteja na vida.
[69:08:08 - 69:09:48]:  - Eu espero que esteja na vida.
[69:09:48 - 69:11:28]:  - Eu espero que esteja na vida.
[69:11:28 - 69:13:08]:  - Eu espero que esteja na vida.
[69:13:08 - 69:14:48]:  - Eu espero que esteja na vida.
[69:14:48 - 69:16:28]:  - Eu espero que esteja na vida.
[69:16:28 - 69:18:08]:  - Eu espero que esteja na vida.
[69:18:08 - 69:19:48]:  - Eu espero que esteja na vida.
[69:19:48 - 69:21:28]:  - Eu espero que esteja na vida.
[69:21:28 - 69:23:08]:  - Eu espero que esteja na vida.
[69:23:08 - 69:24:48]:  - Eu espero que esteja na vida.
[69:24:48 - 69:26:28]:  - Eu espero que esteja na vida.
[69:26:28 - 69:28:08]:  - Eu espero que esteja na vida.
[69:28:08 - 69:29:48]:  - Eu espero que esteja na vida.
[69:29:48 - 69:31:28]:  - Eu espero que esteja na vida.
[69:31:28 - 69:33:08]:  - Eu espero que esteja na vida.
[69:33:08 - 69:34:48]:  - Eu espero que esteja na vida.
[69:34:48 - 69:36:28]:  - Eu espero que esteja na vida.
[69:36:28 - 69:38:08]:  - Eu espero que esteja na vida.
[69:38:08 - 69:39:48]:  - Eu espero que esteja na vida.
[69:39:48 - 69:41:28]:  - Eu espero que esteja na vida.
[69:41:28 - 69:43:08]:  - Eu espero que esteja na vida.
[69:43:08 - 69:44:48]:  - Eu espero que esteja na vida.
[69:44:48 - 69:46:28]:  - Eu espero que esteja na vida.
[69:46:28 - 69:48:08]:  - Eu espero que esteja na vida.
[69:48:08 - 69:49:48]:  - Eu espero que esteja na vida.
[69:49:48 - 69:51:28]:  - Eu espero que esteja na vida.
[69:51:28 - 69:53:08]:  - Eu espero que esteja na vida.
[69:53:08 - 69:54:48]:  - Eu espero que esteja na vida.
[69:54:48 - 69:56:28]:  - Eu espero que esteja na vida.
[69:56:28 - 69:58:08]:  - Eu espero que esteja na vida.
[69:58:08 - 69:59:48]:  - Eu espero que esteja na vida.
[69:59:48 - 70:01:28]:  - Eu espero que esteja na vida.
[70:01:28 - 70:03:08]:  - Eu espero que esteja na vida.
[70:03:08 - 70:04:48]:  - Eu espero que esteja na vida.
[70:04:48 - 70:06:28]:  - Eu espero que esteja na vida.
[70:06:28 - 70:08:08]:  - Eu espero que esteja na vida.
[70:08:08 - 70:09:48]:  - Eu espero que esteja na vida.
[70:09:48 - 70:11:28]:  - Eu espero que esteja na vida.
[70:11:28 - 70:13:08]:  - Eu espero que esteja na vida.
[70:13:08 - 70:14:48]:  - Eu espero que esteja na vida.
[70:14:48 - 70:16:28]:  - Eu espero que esteja na vida.
[70:16:28 - 70:18:08]:  - Eu espero que esteja na vida.
[70:18:08 - 70:19:48]:  - Eu espero que esteja na vida.
[70:19:48 - 70:21:28]:  - Eu espero que esteja na vida.
[70:21:28 - 70:23:08]:  - Eu espero que esteja na vida.
[70:23:08 - 70:24:48]:  - Eu espero que esteja na vida.
[70:24:48 - 70:26:28]:  - Eu espero que esteja na vida.
[70:26:28 - 70:28:08]:  - Eu espero que esteja na vida.
[70:28:08 - 70:29:48]:  - Eu espero que esteja na vida.
[70:29:48 - 70:31:28]:  - Eu espero que esteja na vida.
[70:31:28 - 70:33:08]:  - Eu espero que esteja na vida.
[70:33:08 - 70:34:48]:  - Eu espero que esteja na vida.
[70:34:48 - 70:36:28]:  - Eu espero que esteja na vida.
[70:36:28 - 70:38:08]:  - Eu espero que esteja na vida.
[70:38:08 - 70:39:48]:  - Eu espero que esteja na vida.
[70:39:48 - 70:41:28]:  - Eu espero que esteja na vida.
[70:41:28 - 70:43:08]:  - Eu espero que esteja na vida.
[70:43:08 - 70:44:48]:  - Eu espero que esteja na vida.
[70:44:48 - 70:46:28]:  - Eu espero que esteja na vida.
[70:46:28 - 70:48:08]:  - Eu espero que esteja na vida.
[70:48:08 - 70:49:48]:  - Eu espero que esteja na vida.
[70:49:48 - 70:51:28]:  - Eu espero que esteja na vida.
[70:51:28 - 70:53:08]:  - Eu espero que esteja na vida.
[70:53:08 - 70:54:48]:  - Eu espero que esteja na vida.
[70:54:48 - 70:56:28]:  - Eu espero que esteja na vida.
[70:56:28 - 70:58:08]:  - Eu espero que esteja na vida.
[70:58:08 - 70:59:48]:  - Eu espero que esteja na vida.
[70:59:48 - 71:01:28]:  - Eu espero que esteja na vida.
[71:01:28 - 71:03:08]:  - Eu espero que esteja na vida.
[71:03:08 - 71:04:48]:  - Eu espero que esteja na vida.
[71:04:48 - 71:06:28]:  - Eu espero que esteja na vida.
[71:06:28 - 71:08:08]:  - Eu espero que esteja na vida.
[71:08:08 - 71:09:48]:  - Eu espero que esteja na vida.
[71:09:48 - 71:11:28]:  - Eu espero que esteja na vida.
[71:11:28 - 71:13:08]:  - Eu espero que esteja na vida.
[71:13:08 - 71:14:48]:  - Eu espero que esteja na vida.
[71:14:48 - 71:16:28]:  - Eu espero que esteja na vida.
[71:16:28 - 71:18:08]:  - Eu espero que esteja na vida.
[71:18:08 - 71:19:48]:  - Eu espero que esteja na vida.
[71:19:48 - 71:21:28]:  - Eu espero que esteja na vida.
[71:21:28 - 71:23:08]:  - Eu espero que esteja na vida.
[71:23:08 - 71:24:48]:  - Eu espero que esteja na vida.
[71:24:48 - 71:26:28]:  - Eu espero que esteja na vida.
[71:26:28 - 71:28:08]:  - Eu espero que esteja na vida.
[71:28:08 - 71:29:48]:  - Eu espero que esteja na vida.
[71:29:48 - 71:31:28]:  - Eu espero que esteja na vida.
[71:31:28 - 71:33:08]:  - Eu espero que esteja na vida.
[71:33:08 - 71:34:48]:  - Eu espero que esteja na vida.
[71:34:48 - 71:36:28]:  - Eu espero que esteja na vida.
[71:36:28 - 71:38:08]:  - Eu espero que esteja na vida.
[71:38:08 - 71:39:48]:  - Eu espero que esteja na vida.
[71:39:48 - 71:41:28]:  - Eu espero que esteja na vida.
[71:41:28 - 71:43:08]:  - Eu espero que esteja na vida.
[71:43:08 - 71:44:48]:  - Eu espero que esteja na vida.
[71:44:48 - 71:48:08]:  - Eu espero que esteja na vida.
[71:48:08 - 71:49:48]:  - Eu espero que esteja na vida.
[71:49:48 - 71:51:28]:  - Eu espero que esteja na vida.
[71:51:28 - 71:53:08]:  - Eu espero que esteja na vida.
[71:53:08 - 71:54:48]:  - Eu espero que esteja na vida.
[71:54:48 - 71:56:28]:  - Eu espero que esteja na vida.
[71:56:28 - 71:58:08]:  - Eu espero que esteja na vida.
[71:58:08 - 71:59:48]:  - Eu espero que esteja na vida.
[71:59:48 - 72:01:28]:  - Eu espero que esteja na vida.
[72:01:28 - 72:03:08]:  - Eu espero que esteja na vida.
[72:03:08 - 72:04:48]:  - Eu espero que esteja na vida.
[72:04:48 - 72:06:28]:  - Eu espero que esteja na vida.
[72:06:28 - 72:08:08]:  - Eu espero que esteja na vida.
[72:08:08 - 72:09:48]:  - Eu espero que esteja na vida.
[72:09:48 - 72:11:28]:  - Eu espero que esteja na vida.
[72:11:28 - 72:13:08]:  - Eu espero que esteja na vida.
[72:13:08 - 72:14:48]:  - Eu espero que esteja na vida.
[72:14:48 - 72:16:28]:  - Eu espero que esteja na vida.
[72:16:28 - 72:18:08]:  - Eu espero que esteja na vida.
[72:18:08 - 72:19:48]:  - Eu espero que esteja na vida.
[72:19:48 - 72:21:28]:  - Isso tem a ver que esteja na vida.
[72:21:28 - 72:23:08]:  - Isso tem a ver que esteja na vida.
[72:23:08 - 72:24:48]:  - Isso tem a ver que esteja na vida.
[72:24:48 - 72:26:28]:  - Isso tem a ver que esteja na vida.
[72:26:28 - 72:28:08]:  - Isso tem a ver que esteja na vida.
[72:28:08 - 72:29:48]:  - Isso tem a ver que esteja na vida.
[72:29:48 - 72:31:28]:  - Isso tem a ver que esteja na vida.
[72:31:28 - 72:33:08]:  - Isso tem a ver que esteja na vida.
[72:33:08 - 72:34:48]:  - Isso tem a ver que esteja na vida.
[72:34:48 - 72:36:28]:  - Isso tem a ver que esteja na vida.
[72:36:28 - 72:38:08]:  - Isso tem a ver que esteja na vida.
[72:38:08 - 72:39:48]:  - Isso tem a ver que esteja na vida.
[72:39:48 - 72:41:28]:  - Isso tem a ver que esteja na vida.
[72:41:28 - 72:43:08]:  - Isso tem a ver que esteja na vida.
[72:43:08 - 72:44:48]:  - Isso tem a ver que esteja na vida.
[72:44:48 - 72:46:28]:  - Isso tem a ver que esteja na vida.
[72:46:28 - 73:11:28]:  - Isso tem a ver que esteja na vida.
[73:11:28 - 73:13:08]:  - Isso tem a ver que esteja na vida.
[73:13:08 - 73:14:48]:  - Isso tem a ver que esteja na vida.
[73:14:48 - 73:16:28]:  - Isso tem a ver que esteja na vida.
[73:16:28 - 73:18:08]:  - Isso tem a ver que esteja na vida.
[73:18:08 - 73:19:48]:  - Isso tem a ver que esteja na vida.
[73:19:48 - 73:21:28]:  - Isso tem a ver que esteja na vida.
[73:21:28 - 73:23:08]:  - Isso tem a ver que esteja na vida.
[73:23:08 - 73:24:48]:  - Isso tem a ver que esteja na vida.
[73:24:48 - 73:26:28]:  - Isso tem a ver que esteja na vida.
[73:26:28 - 73:28:08]:  - Isso tem a ver que esteja na vida.
[73:28:08 - 73:29:48]:  - Isso tem a ver que esteja na vida.
[73:29:48 - 73:31:28]:  - Isso tem a ver que esteja na vida.
[73:31:28 - 73:33:08]:  - Isso tem a ver que esteja na vida.
[73:33:08 - 73:34:48]:  - Isso tem a ver que esteja na vida.
[73:34:48 - 73:36:28]:  - Isso tem a ver que esteja na vida.
[73:36:28 - 73:38:08]:  - Isso tem a ver que esteja na vida.
[73:38:08 - 73:39:48]:  - Isso tem a ver que esteja na vida.
[73:39:48 - 73:41:28]:  - Isso tem a ver que esteja na vida.
[73:41:28 - 73:43:08]:  - Isso tem a ver que esteja na vida.
[73:43:08 - 73:44:48]:  - Isso tem a ver que esteja na vida.
[73:44:48 - 73:46:28]:  - Isso tem a ver que esteja na vida.
[73:46:28 - 73:48:08]:  - Isso tem a ver que esteja na vida.
[73:48:08 - 73:49:48]:  - Isso tem a ver que esteja na vida.
[73:49:48 - 73:51:28]:  - Isso tem a ver que esteja na vida.
[73:51:28 - 73:53:08]:  - Isso tem a ver que esteja na vida.
[73:53:08 - 73:54:48]:  - Isso tem a ver que esteja na vida.
[73:54:48 - 73:56:28]:  - Isso tem a ver que esteja na vida.
[73:56:28 - 73:58:08]:  - Isso tem a ver que esteja na vida.
[73:58:08 - 73:59:48]:  - Isso tem a ver que esteja na vida.
[73:59:48 - 74:01:28]:  - Isso tem a ver que esteja na vida.
[74:01:28 - 74:26:28]:  - Isso tem a ver que esteja na vida.
[74:26:28 - 74:28:08]:  - Isso tem a ver que esteja na vida.
[74:28:08 - 74:29:48]:  - Isso tem a ver que esteja na vida.
[74:29:48 - 74:31:28]:  - Isso tem a ver que esteja na vida.
[74:31:28 - 74:33:08]:  - Isso tem a ver que esteja na vida.
[74:33:08 - 74:34:48]:  - Isso tem a ver que esteja na vida.
[74:34:48 - 74:36:28]:  - Isso tem a ver que esteja na vida.
[74:36:28 - 74:38:08]:  - Isso tem a ver que esteja na vida.
[74:38:08 - 74:39:48]:  - Isso tem a ver que esteja na vida.
[74:39:48 - 74:41:28]:  - Isso tem a ver que esteja na vida.
[74:41:28 - 74:43:08]:  - Isso tem a ver que esteja na vida.
[74:43:08 - 74:44:48]:  - Isso tem a ver que esteja na vida.
[74:44:48 - 74:46:28]:  - Isso tem a ver que esteja na vida.
[74:46:28 - 74:48:08]:  - Isso tem a ver que esteja na vida.
[74:48:08 - 74:49:48]:  - Isso tem a ver que esteja na vida.
[74:49:48 - 74:51:28]:  - Isso tem a ver que esteja na vida.
[74:51:28 - 74:53:08]:  - Isso tem a ver que esteja na vida.
[74:53:08 - 74:54:48]:  - Isso tem a ver que esteja na vida.
[74:54:48 - 74:56:28]:  - Isso tem a ver que esteja na vida.
[74:56:28 - 74:58:08]:  - Isso tem a ver que esteja na vida.
[74:58:08 - 74:59:48]:  - Isso tem a ver que esteja na vida.
[74:59:48 - 75:01:28]:  - Isso tem a ver que esteja na vida.
[75:01:28 - 75:03:08]:  - Isso tem a ver que esteja na vida.
[75:03:08 - 75:04:48]:  - Isso tem a ver que esteja na vida.
[75:04:48 - 75:06:28]:  - Isso tem a ver que esteja na vida.
[75:06:28 - 75:08:08]:  - Isso tem a ver que esteja na vida.
[75:08:08 - 75:09:48]:  - Isso tem a ver que esteja na vida.
[75:09:48 - 75:11:28]:  - Isso tem a ver que esteja na vida.
[75:11:28 - 75:13:08]:  - Isso tem a ver que esteja na vida.
[75:13:08 - 75:14:48]:  - Isso tem a ver que esteja na vida.
[75:14:48 - 75:16:28]:  - Isso tem a ver que esteja na vida.
[75:16:28 - 75:41:28]:  - Isso tem a ver que esteja na vida.
[75:41:28 - 75:43:08]:  - Isso tem a ver que esteja na vida.
[75:43:08 - 75:44:48]:  - Isso tem a ver que esteja na vida.
[75:44:48 - 75:46:28]:  - Isso tem a ver que esteja na vida.
[75:46:28 - 75:48:08]:  - Isso tem a ver que esteja na vida.
[75:48:08 - 75:49:48]:  - Isso tem a ver que esteja na vida.
[75:49:48 - 75:51:28]:  - Isso tem a ver que esteja na vida.
[75:51:28 - 75:53:08]:  - Isso tem a ver que esteja na vida.
[75:53:08 - 75:54:48]:  - Isso tem a ver que esteja na vida.
[75:54:48 - 75:56:28]:  - Isso tem a ver que esteja na vida.
[75:56:28 - 75:58:08]:  - Isso tem a ver que esteja na vida.
[75:58:08 - 75:59:48]:  - Isso tem a ver que esteja na vida.
[75:59:48 - 76:01:28]:  - Isso tem a ver que esteja na vida.
[76:01:28 - 76:03:08]:  - Isso tem a ver que esteja na vida.
[76:03:08 - 76:04:48]:  - Isso tem a ver que esteja na vida.
[76:04:48 - 76:06:28]:  - Isso tem a ver que esteja na vida.
[76:06:28 - 76:08:08]:  - Isso tem a ver que esteja na vida.
[76:08:08 - 76:09:48]:  - Isso tem a ver que esteja na vida.
[76:09:48 - 76:11:28]:  - Isso tem a ver que esteja na vida.
[76:11:28 - 76:13:08]:  - Isso tem a ver que esteja na vida.
[76:13:08 - 76:14:48]:  - Isso tem a ver que esteja na vida.
[76:14:48 - 76:16:28]:  - Isso tem a ver que esteja na vida.
[76:16:28 - 76:18:08]:  - Isso tem a ver que esteja na vida.
[76:18:08 - 76:19:48]:  - Isso tem a ver que esteja na vida.
[76:19:48 - 76:21:28]:  - Isso tem a ver que esteja na vida.
[76:21:28 - 76:23:08]:  - Isso tem a ver que esteja na vida.
[76:23:08 - 76:24:48]:  - Isso tem a ver que esteja na vida.
[76:24:48 - 76:26:28]:  - Isso tem a ver que esteja na vida.
[76:26:28 - 76:28:08]:  - Isso tem a ver que esteja na vida.
[76:28:08 - 76:29:48]:  - Isso tem a ver que esteja na vida.
[76:29:48 - 76:31:28]:  - Isso tem a ver que esteja na vida.
[76:31:28 - 76:56:28]:  - Isso tem a ver que esteja na vida.
[76:56:28 - 76:58:08]:  - Isso tem a ver que esteja na vida.
[76:58:08 - 76:59:48]:  - Isso tem a ver que esteja na vida.
[76:59:48 - 77:01:28]:  - Isso tem a ver que esteja na vida.
[77:01:28 - 77:03:08]:  - Isso tem a ver que esteja na vida.
[77:03:08 - 77:04:48]:  - Isso tem a ver que esteja na vida.
[77:04:48 - 77:06:28]:  - Isso tem a ver que esteja na vida.
[77:06:28 - 77:08:08]:  - Isso tem a ver que esteja na vida.
[77:08:08 - 77:09:48]:  - Isso tem a ver que esteja na vida.
[77:09:48 - 77:11:28]:  - Isso tem a ver que esteja na vida.
[77:11:28 - 77:13:08]:  - Isso tem a ver que esteja na vida.
[77:13:08 - 77:14:48]:  - Isso tem a ver que esteja na vida.
[77:14:48 - 77:16:28]:  - Isso tem a ver que esteja na vida.
[77:16:28 - 77:18:08]:  - Isso tem a ver que esteja na vida.
[77:18:08 - 77:19:48]:  - Isso tem a ver que esteja na vida.
[77:19:48 - 77:23:08]:  - Deus pessoas como todos nós também morreram.
[77:23:08 - 77:24:48]:  - Deus pessoas como todos nós também morreram.
[77:24:48 - 77:26:28]:  - Deus pessoas como todos nós também morreram.
[77:26:28 - 77:28:08]:  - Deus pessoas como todos nós também morreram.
[77:28:08 - 77:29:48]:  - Deus pessoas como todos nós também morreram.
[77:29:48 - 77:31:28]:  - Deus pessoas como todos nós também morreram.
[77:31:28 - 77:33:08]:  - Deus pessoas como todos nós também morreram.
[77:33:08 - 77:34:48]:  - Deus pessoas como todos nós também morreram.
[77:34:48 - 77:36:28]:  - Deus pessoas como todos nós também morreram.
[77:36:28 - 77:38:08]:  - Deus pessoas como todos nós também morreram.
[77:38:08 - 77:39:48]:  - Deus pessoas como todos nós também morreram.
[77:39:48 - 77:41:28]:  - Deus pessoas como todos nós também morreram.
[77:41:28 - 77:43:08]:  - Deus pessoas como todos nós também morreram.
[77:43:08 - 77:44:48]:  - Deus pessoas como todos nós também morreram.
[77:44:48 - 77:46:28]:  - Deus pessoas como todos nós também morreram.
[77:46:28 - 78:11:28]:  - Deus pessoas como todos nós também morreram.
[78:11:28 - 78:13:08]:  - Deus pessoas como todos nós também morreram.
[78:13:08 - 78:14:48]:  - Deus pessoas como todos nós também morreram.
[78:14:48 - 78:16:28]:  - Deus pessoas como todos nós também morreram.
[78:16:28 - 78:18:08]:  - Deus pessoas como todos nós também morreram.
[78:18:08 - 78:19:48]:  - Deus pessoas como todos nós também morreram.
[78:19:48 - 78:21:28]:  - Deus pessoas como todos nós também morreram.
[78:21:28 - 78:23:08]:  - Deus pessoas como todos nós também morreram.
[78:23:08 - 78:24:48]:  - Deus pessoas como todos nós também morreram.
[78:24:48 - 78:26:28]:  - Deus pessoas como todos nós também morreram.
[78:26:28 - 78:28:08]:  - Deus pessoas como todos nós também morreram.
[78:28:08 - 78:29:48]:  - Deus pessoas como todos nós também morreram.
[78:29:48 - 78:31:28]:  - Deus pessoas como todos nós também morreram.
[78:31:28 - 78:33:08]:  - Deus pessoas como todos nós também morreram.
[78:33:08 - 78:34:48]:  - Deus pessoas como todos nós também morreram.
[78:34:48 - 78:38:08]:  - O Pedro Machia traz um livro breve.
[78:38:08 - 78:38:08]:  - O Pedro Machia traz um livro breve.
[78:38:08 - 78:39:48]:  - O Pedro Machia traz um livro breve.
[78:39:48 - 78:39:48]:  - O Pedro Machia traz um livro breve.
[78:39:48 - 78:41:28]:  - O Pedro Machia traz um livro breve.
[78:41:28 - 78:43:08]:  - O Pedro Machia traz um livro breve.
[78:43:08 - 78:44:48]:  - O Pedro Machia traz um livro breve.
[78:44:48 - 78:46:28]:  - O Pedro Machia traz um livro breve.
[78:46:28 - 78:48:08]:  - O Pedro Machia traz um livro breve.
[78:48:08 - 78:49:48]:  - O Pedro Machia traz um livro breve.
[78:49:48 - 78:51:28]:  - O Pedro Machia traz um livro breve.
[78:51:28 - 78:53:08]:  - O Pedro Machia traz um livro breve.
[78:53:08 - 78:54:48]:  - O Pedro Machia traz um livro breve.
[78:54:48 - 78:56:28]:  - O Pedro Machia traz um livro breve.
[78:56:28 - 78:58:08]:  - O Pedro Machia traz um livro breve.
[78:58:08 - 78:59:48]:  - O Pedro Machia traz um livro breve.
[78:59:48 - 79:01:28]:  - O Pedro Machia traz um livro breve.
[79:01:28 - 79:03:08]:  - O Pedro Machia traz um livro breve.
[79:03:08 - 79:26:28]:  - O Pedro Machia traz um livro breve.
[79:26:28 - 79:29:48]:  - O Pedro Machia traz um livro breve.
[79:29:48 - 79:31:28]:  - O Pedro Machia traz um livro breve.
[79:31:28 - 79:33:08]:  - O Pedro Machia traz um livro breve.
[79:33:08 - 79:34:48]:  - O Pedro Machia traz um livro breve.
[79:34:48 - 79:36:28]:  - O Pedro Machia traz um livro breve.
[79:36:28 - 79:38:08]:  - O Pedro Machia traz um livro breve.
[79:38:08 - 79:39:48]:  - O Pedro Machia traz um livro breve.
[79:39:48 - 79:41:28]:  - O Pedro Machia traz um livro breve.
[79:41:28 - 79:43:08]:  - O Pedro Machia traz um livro breve.
[79:43:08 - 79:44:48]:  - O Pedro Machia traz um livro breve.
[79:44:48 - 79:46:28]:  - O Pedro Machia traz um livro breve.
[79:46:28 - 79:48:08]:  - O Pedro Machia traz um livro breve.
[79:48:08 - 79:49:48]:  - O Pedro Machia traz um livro breve.
[79:49:48 - 79:51:28]:  - O Pedro Machia traz um livro breve.
[79:51:28 - 79:51:28]:  - O Pedro Machia traz um livro breve.
[79:51:28 - 79:53:08]:  - O Pedro Machia traz um livro breve.
[79:53:08 - 79:54:48]:  - O Pedro Machia traz um livro breve.
[79:54:48 - 79:56:28]:  - O Pedro Machia traz um livro breve.
[79:56:28 - 79:58:08]:  - O Pedro Machia traz um livro breve.
[79:58:08 - 79:59:48]:  - O Pedro Machia traz um livro breve.
[79:59:48 - 80:01:28]:  - O Pedro Machia traz um livro breve.
[80:01:28 - 80:03:08]:  - O Pedro Machia traz um livro breve.
[80:03:08 - 80:04:48]:  - O Pedro Machia traz um livro breve.
[80:04:48 - 80:06:28]:  - O Pedro Machia traz um livro breve.
[80:06:28 - 80:08:08]:  - O Pedro Machia traz um livro breve.
[80:08:08 - 80:09:48]:  - O Pedro Machia traz um livro breve.
[80:09:48 - 80:11:28]:  - O Pedro Machia traz um livro breve.
[80:11:28 - 80:13:08]:  - O Pedro Machia traz um livro breve.
[80:13:08 - 80:14:48]:  - O Pedro Machia traz um livro breve.
[80:14:48 - 80:16:28]:  - O Pedro Machia traz um livro breve.
[80:16:28 - 80:18:08]:  - O Pedro Machia traz um livro breve.
[80:18:08 - 80:19:48]:  - O Pedro Machia traz um livro breve.
[80:19:48 - 80:21:28]:  - O Pedro Machia traz um livro breve.
[80:21:28 - 80:44:48]:  - O Pedro Machia traz um livro breve.
[80:44:48 - 80:46:28]:  - O Pedro Machia traz um livro breve.
[80:46:28 - 80:48:08]:  - O Pedro Machia traz um livro breve.
[80:48:08 - 80:49:48]:  - O Pedro Machia traz um livro breve.
[80:49:48 - 80:51:28]:  - O Pedro Machia traz um livro breve.
[80:51:28 - 80:53:08]:  - O Pedro Machia traz um livro breve.
[80:53:08 - 80:54:48]:  - O Pedro Machia traz um livro breve.
[80:54:48 - 80:56:28]:  - O Pedro Machia traz um livro breve.
[80:56:28 - 80:58:08]:  - O Pedro Machia traz um livro breve.
[80:58:08 - 80:59:48]:  - O Pedro Machia traz um livro breve.
[80:59:48 - 81:01:28]:  - O Pedro Machia traz um livro breve.
[81:01:28 - 81:03:08]:  - O Pedro Machia traz um livro breve.
[81:03:08 - 81:04:48]:  - O Pedro Machia traz um livro breve.
[81:04:48 - 81:06:28]:  - O Pedro Machia traz um livro breve.
[81:06:28 - 81:08:08]:  - O Pedro Machia traz um livro breve.
[81:08:08 - 81:09:48]:  - O Pedro Machia traz um livro breve.
[81:09:48 - 81:11:28]:  - O Pedro Machia traz um livro breve.
[81:11:28 - 81:13:08]:  - O Pedro Machia traz um livro breve.
[81:13:08 - 81:14:48]:  - O Pedro Machia traz um livro breve.
[81:14:48 - 81:16:28]:  - O Pedro Machia traz um livro breve.
[81:16:28 - 81:18:08]:  - O Pedro Machia traz um livro breve.
[81:18:08 - 81:19:48]:  - O Pedro Machia traz um livro breve.
[81:19:48 - 81:21:28]:  - O Pedro Machia traz um livro breve.
[81:21:28 - 81:23:08]:  - O Pedro Machia traz um livro breve.
[81:23:08 - 81:24:48]:  - O Pedro Machia traz um livro breve.
[81:24:48 - 81:26:28]:  - O Pedro Machia traz um livro breve.
[81:26:28 - 81:28:08]:  - O Pedro Machia traz um livro breve.
[81:28:08 - 81:29:48]:  - O Pedro Machia traz um livro breve.
[81:29:48 - 81:31:28]:  - O Pedro Machia traz um livro breve.
[81:31:28 - 81:33:08]:  - O Pedro Machia traz um livro breve.
[81:33:08 - 81:34:48]:  - O Pedro Machia traz um livro breve.
[81:34:48 - 81:36:28]:  - O Pedro Machia traz um livro breve.
[81:36:28 - 81:38:08]:  - O Pedro Machia traz um livro breve.
[81:38:08 - 81:39:48]:  - O Pedro Machia traz um livro breve.
[81:39:48 - 82:04:48]:  - O Pedro Machia traz um livro breve.
[82:04:48 - 82:08:08]:  - O Pedro Machia traz um livro breve.
[82:08:08 - 82:09:48]:  - O Pedro Machia traz um livro breve.
[82:09:48 - 82:11:28]:  - O Pedro Machia traz um livro breve.
[82:11:28 - 82:13:08]:  - O Pedro Machia traz um livro breve.
[82:13:08 - 82:14:48]:  - O Pedro Machia traz um livro breve.
[82:14:48 - 82:16:28]:  - O Pedro Machia traz um livro breve.
[82:16:28 - 82:18:08]:  - O Pedro Machia traz um livro breve.
[82:18:08 - 82:19:48]:  - O Pedro Machia traz um livro breve.
[82:19:48 - 82:21:28]:  - O Pedro Machia traz um livro breve.
[82:21:28 - 82:23:08]:  - O Pedro Machia traz um livro breve.
[82:23:08 - 82:24:48]:  - O Pedro Machia traz um livro breve.
[82:24:48 - 82:26:28]:  - O Pedro Machia traz um livro breve.
[82:26:28 - 82:28:08]:  - O Pedro Machia traz um livro breve.
[82:28:08 - 82:29:48]:  - O Pedro Machia traz um livro breve.
[82:29:48 - 82:31:28]:  - O Pedro Machia traz um livro breve.
[82:31:28 - 82:33:08]:  - O Pedro Machia traz um livro breve.
[82:33:08 - 82:34:48]:  - O Pedro Machia traz um livro breve.
[82:34:48 - 82:36:28]:  - O Pedro Machia traz um livro breve.
[82:36:28 - 82:38:08]:  - O Pedro Machia traz um livro breve.
[82:38:08 - 82:39:48]:  - O Pedro Machia traz um livro breve.
[82:39:48 - 82:41:28]:  - O Pedro Machia traz um livro breve.
[82:41:28 - 82:43:08]:  - O Pedro Machia traz um livro breve.
[82:43:08 - 82:44:48]:  - O Pedro Machia traz um livro breve.
[82:44:48 - 82:46:28]:  - O Pedro Machia traz um livro breve.
[82:46:28 - 82:48:08]:  - O Pedro Machia traz um livro breve.
