[00:00:00 - 00:18:00]:  Esta semana, Ricardo Araújo, Pereira, declara-se Araújo, Pedro Mexia, Cento capital e João Miguel
[81:04:46 - 81:11:26]:  e mais do que saber onde o livro chega, porque vai por muitos caminhos,
[81:11:26 - 81:16:26]:  o interessante é mesmo isso, é essa viagem,
[81:16:26 - 81:21:26]:  é esse próprio caminho em que ao mesmo tempo,
[81:21:26 - 81:28:06]:  sei que lembra-se porque passamos do presente com belas histórias do passado,
[81:28:06 - 81:33:06]:  portanto agora e mais agora.
[81:33:06 - 81:39:46]:  O Ricardo Rouspará atrás dois livros, mas não têm comissão.
[81:39:46 - 81:44:46]:  E, exatamente, meus amigos, senhores teados espectadores
[81:44:46 - 81:53:06]:  e ouvintes do podcast, espaço agora para o mais vergonhoso amiguismo.
[81:53:06 - 81:58:06]:  - Sim, sim. - Fora com ele!
[81:58:06 - 82:01:26]:  - É o problema, por que? - Os livros do mundo agadora!
[82:01:26 - 82:04:46]:  - Não tem nada que conhecer. - Não tem nada que conhecer.
[82:04:46 - 82:08:06]:  - Não nos ouvirem este protesto, porque esta editora,
[82:08:06 - 82:14:46]:  estas noções que eu trago hoje, são dois livros de uma editora
[82:14:46 - 82:19:46]:  que pretende sacar as marcas, chamando de segurato.
[82:19:46 - 82:23:06]:  E como toda a gente sabe, acho que eu...
[82:23:06 - 82:28:06]:  - Despudou, porque nas editoras independentes são um projeto
[82:28:06 - 82:33:06]:  de enriquecimento pessoal e evidente.
[82:33:06 - 82:38:06]:  - Por isso castúeu a contribuir para o jato privado
[82:38:06 - 82:44:46]:  de caras marcas, em que espero andar muito em breve.
[82:44:46 - 82:48:06]:  Recomendendo estes dois livros que foram editados,
[82:48:06 - 82:53:06]:  mas, ao mesmo tempo, de uma forma bastante provocatória.
[82:53:06 - 82:56:26]:  Mas eu aceito provocações já avontado.
[82:56:26 - 83:01:26]:  Os livros chamam-se a breve história mundial da esquerda,
[83:01:26 - 83:06:26]:  e a biblioteca de Stalin, um ditador de seus livros.
[83:06:26 - 83:09:46]:  O primeiro é exatamente o que diz,
[83:09:46 - 83:13:06]:  é uma breve história mundial da esquerda.
[83:13:06 - 83:19:46]:  E, exprime algumas preocupações relativamente ao estado
[83:19:46 - 83:24:46]:  de que a esquerda está hoje que eu partilho, por exemplo.
[83:24:46 - 83:29:46]:  - É isso? - E a breve...
[83:29:46 - 83:34:46]:  A biblioteca de Stalin, um ditador de seus livros,
[83:34:46 - 83:39:46]:  é um livro curiosíssimo, é um exercício de voyarismo
[83:39:46 - 83:44:46]:  que eu gostava de poder fazer com vários leitores,
[83:44:46 - 83:49:46]:  mas que no caso do Stalin,
[83:49:46 - 83:53:06]:  é ainda mais interessante,
[83:53:06 - 83:56:26]:  porque há toda uma série de marginália,
[83:56:26 - 83:59:46]:  o Stalin anotava, profundamente, dos seus livros.
[83:59:46 - 84:04:46]:  Eu ali acho que com a sensação do que o Stalin é aquilo
[84:04:46 - 84:06:26]:  que chamam-se a linguagem,
[84:06:26 - 84:09:46]:  hoje, um leitor de sensibilidade.
[84:09:46 - 84:16:26]:  Só que ele vai um pouco mais além do que apenas que o regiro Rualdal,
[84:16:26 - 84:21:26]:  ele quer dar um tiro no Rualdal e às vezes dá mesmo.
[84:21:26 - 84:28:06]:  E assim, se conclui mais uma reunião humanal,
[84:28:06 - 84:34:46]:  dois ou oitias, a mesma hora, ou a qualquer hora, em podcast,
[84:34:46 - 84:41:26]:  os mesmos de sempre pedrem a chia, João Miguel Tavares e Ricardo Borús Preto.
[84:41:26 - 84:48:06]:  [Música]
[84:48:06 - 84:54:46]:  [Música]
[84:54:46 - 85:01:26]:  [Música]
[85:01:26 - 85:08:06]:  [Música]
[85:08:06 - 85:14:46]:  [Música]
[85:14:46 - 85:21:26]:  [Música]
[85:21:26 - 85:28:06]:  [Música]
[85:28:06 - 85:34:46]:  [Música]
[85:34:46 - 85:41:26]:  [Música]
