[00:00:00 - 00:11:36]:  Esta semana João Miguel Tavares declara-se energizado. Pedramxia, sente-se como prometido na
[75:49:00 - 75:57:20]:  E de facto, a maneira como cada um se porta parece que estão em dois filmes diferentes,
[75:57:20 - 76:05:40]:  em qualquer filme, a postura dela entrebunal,
[76:05:40 - 76:09:00]:  diria que ela é culpada.
[76:09:00 - 76:12:20]:  Se fosse um filme, a postura dela não terbaldeiria que a cobaça,
[76:12:20 - 76:20:40]:  se fosse uma comédia, que é o tipo que se diverte com as histórias de cabrosa
[76:20:40 - 76:24:00]:  e ela está divertido, não é daquilo.
[76:24:00 - 76:27:20]:  Se fosse uma comédia ela era inocente.
[76:27:20 - 76:32:20]:  Se fosse uma tragéria, onde ela era culpada.
[76:32:20 - 76:40:40]:  Mas não parece que a teatralização...
[76:40:40 - 76:44:00]:  Tragar uma coisa de boa parte.
[76:44:00 - 76:49:00]:  Porque não faz parte de hoje disso, faz parte do showbiz.
[76:49:00 - 76:54:00]:  Agora não é por senhores delas do Hollywood que me diz a Dona Alzira.
[76:54:00 - 76:59:00]:  Que está certo, tá bem, também, é preciso nos outros.
[76:59:00 - 77:00:40]:  Vale a me der.
[77:00:40 - 77:02:20]:  - Não, não, não. - Dona Alzira não é isso.
[77:02:20 - 77:04:00]:  - Se chega. - Não, não.
[77:04:00 - 77:05:40]:  - Não, não. - Já descascaramos.
[77:05:40 - 77:09:00]:  - Vale a me der. - Por doutora?
[77:09:00 - 77:12:20]:  - Não, por doutora. - Não, não.
[77:12:20 - 77:15:40]:  - Dona Alzira era um espreendor. - Agora, vou ver duas.
[77:15:40 - 77:20:40]:  2 nomes interessantes que foi o Dona Alzira
[77:20:40 - 77:27:20]:  e o Pedro acabou de falar na teatralização, que é um bom nome para o Matia.
[77:27:20 - 77:32:20]:  - Não, não, não. - Tinha teatralização.
[77:32:20 - 77:39:00]:  - Tinha teatralização. - É um nome engraçado para o Matia.
[77:39:00 - 77:49:00]:  - Como está a teatralização? - Bem, está da outra das liras.
[77:49:00 - 77:55:40]:  - Bem, eu vou falar de hoje, é de doutora, tá?
[77:55:40 - 77:59:00]:  - Não, não, não. - Também estava teotrado.
[77:59:00 - 78:00:40]:  - Também estava teotrado. - Líveros.
[78:00:40 - 78:05:40]:  - Essa semana eu trago um poeta em Prosa.
[78:05:40 - 78:12:20]:  Eu já de um drado foi um dos poetas vivos mais marcantes.
[78:12:20 - 78:19:00]:  Na minha adolescência, no tempo em que ainda era capaz de saber o poema de cor,
[78:19:00 - 78:22:20]:  na hora de... Eu gênio.
[78:22:20 - 78:29:00]:  Era daqueles poetas a quem nos referíamos, por nome próprio.
[78:29:00 - 78:35:40]:  Foi se desvandecendo um pouco o tempo.
[78:35:40 - 78:42:20]:  Talvez também por isso, uma das vozes mais imitadas,
[78:42:20 - 78:52:20]:  talvez por ser uma das vozes mais imitadas por todo o tipo de aprendidos de poesia.
[78:52:20 - 78:59:00]:  O facto é que deixou uma marca forte na poesia portuguesa,
[78:59:00 - 79:07:20]:  na literatura portuguesa, uma das particularidades da poesia de o genadandrada,
[79:07:20 - 79:12:20]:  uma espécie de levitação, uns palmos acima do real,
[79:12:20 - 79:20:40]:  uma forma de levitação que não desaparece por completo na Prosa deste poeta,
[79:20:40 - 79:27:20]:  que foi agora reunida no único volume, embora este seja em grande aparto
[79:27:20 - 79:34:00]:  de um livro de leitor, do leitor que o genadandrada era,
[79:34:00 - 79:42:20]:  no confronto sempre bastante particular, com as obras de outros autores.
[79:42:20 - 79:49:00]:  A Prosa de o genadandrada, na medição de Círio e Alvinho.
[79:49:00 - 79:55:40]:  O liberal João Miguel Tavar, que faz a rocobenda.
[79:55:40 - 79:57:20]:  O liberalismo.
[79:57:20 - 80:02:20]:  Sim, eu já fizemos um minta de condição no início do programa,
[80:02:20 - 80:07:20]:  mas o João Contrito que te fregou, era de inventar aquele mantra do liberalismo,
[80:07:20 - 80:10:40]:  que funciona e faz falta.
[80:10:40 - 80:15:40]:  Isso não é um livro para considerar os dos de la lega votar na iniciativa liberal,
[80:15:40 - 80:24:00]:  mas é um livro que demonstra como o liberalismo, um pouco como a democracia,
[80:24:00 - 80:29:00]:  é o pior dos sistemas, mas concessão de todos os outros.
[80:29:00 - 80:37:20]:  E por que que eu en forma as nossas civilizações,
[80:37:20 - 80:42:20]:  e por que que ele está subamiada?
[80:42:20 - 80:49:00]:  E enquanto explicação disso, é o melhor livro que ele nos últimos anos
[80:49:00 - 80:54:00]:  é conselho com o grande favor, o leitor...
[80:54:00 - 80:57:20]:  E o leitor que nós se maveram?
[80:57:20 - 81:00:40]:  Não, é assim, não.
[81:00:40 - 81:04:00]:  Isso é esse livro, não é?
[81:04:00 - 81:05:40]:  Sem ganhão.
[81:05:40 - 81:07:20]:  Pedro Machia, atrás...
[81:07:20 - 81:09:00]:  O livro que se chama?
[81:09:00 - 81:10:40]:  "Bamoria do Cineclubo do Porto".
[81:10:40 - 81:17:20]:  Sim, a vida é uma filmes histórias e memórias do Cineclubo do Porto,
[81:17:20 - 81:20:40]:  coordinado por uma nova oitoria indeditada pela frontamento,
[81:20:40 - 81:34:00]:  são destumõe sobre estes centros e cinco anos do Cineclubo do Porto,
[81:34:00 - 81:47:20]:  onde tem, evidentemente, uma série de documentos, fotografias, cartazes,
[81:47:20 - 81:59:00]:  textos, folhas de sal, etc., que dão a imagem gráfica do que foram estes décadas,
[81:59:00 - 82:07:20]:  mas, sobretudo, mostram que o Cineclubo, os Cineclubo, foram importantíssimos,
[82:07:20 - 82:12:20]:  por um lado, como forma de difusão da Cineclubo da Filia
[82:12:20 - 82:19:00]:  e como forma de discussão política, sobretudo, no tempo do Estado Novo
[82:19:00 - 82:22:20]:  e as pessoas praticamente todos falam,
[82:22:20 - 82:25:40]:  isso, como sendo uma escola de cinema e de política.
[82:25:40 - 82:32:20]:  O Ricardo Arosperer, atrás, não, mas dois livros,
[82:32:20 - 82:39:00]:  um conjunto, masado acistido.
[82:39:00 - 82:44:00]:  O matem que podia trazer mais aliás para que está a ser irritado, com alguma intensidade,
[82:44:00 - 82:50:40]:  uma chada cisíndaba em autor brasileiro, do qual, pelo menos no meu tempo,
[82:50:40 - 82:57:20]:  não se falava muito ou nada, na escola, não era que andou na universidade,
[82:57:20 - 83:00:40]:  diz, será que andou na universidade?
[83:00:40 - 83:05:40]:  Pois não faça ideia, não sei, mas, mas, no meu tempo,
[83:05:40 - 83:12:20]:  eu lembro dos meus lados minhas, as leitas,
[83:12:20 - 83:17:20]:  tinham lá, tinha um poema ou outra da Silímeria, e tal,
[83:17:20 - 83:20:40]:  mas, de baixado acisa, não se falava, e é uma pena.
[83:20:40 - 83:24:00]:  Não, não, não dá-se do CDS.
[83:24:00 - 83:32:20]:  E estes livros, estão a ser aguardeditados, por exemplo, aqui estão dois casos,
[83:32:20 - 83:37:20]:  é a mão e a louva, evitado pela Guenhei Paz, que também já é editoro
[83:37:20 - 83:42:20]:  dão casmo, salvo erro, alianista, também acho que sim.
[83:42:20 - 83:49:00]:  E estes, as memorias para postos de Brasco, são todos livros maravilhosos,
[83:49:00 - 83:52:20]:  deixem destacar as memorias para postos de Brasco,
[83:52:20 - 83:59:00]:  mas aqui neste edição da Boca-Var, porque é um livro do qual,
[83:59:00 - 84:07:20]:  uma vez o gárde, ano pediu ao Woody Allen, para dizer os seus cinco livros preferidos de sempre.
[84:07:20 - 84:12:20]:  E um delo da é este, as memorias para postos de Brasco-Var,
[84:12:20 - 84:17:20]:  como interração é um livro que...
[84:17:20 - 84:19:00]:  Ser recomendado por um americano?
[84:19:00 - 84:24:00]:  Exatamente, não, mas tem muita razão.
[84:24:00 - 84:29:00]:  Mas o Mugista Ricardo e o Espreguei também o colocava no seu top.
[84:29:00 - 84:34:00]:  Também colocava no seu top, é um livro que aliás o narrador,
[84:34:00 - 84:40:40]:  que este é um senhor já falecido, de dica, ao vermo que primeiro rouelas
[84:40:40 - 84:42:20]:  frias carnos do meu cadáver.
[84:42:20 - 84:45:40]:  Mas o Mugida-Varro é um senhor que está termina?
[84:45:40 - 84:47:20]:  Não quero ouvir mais falar isto.
[84:47:20 - 84:52:20]:  Está termina mais de marrinho ao Semarral, dois ou oito dias,
[84:52:20 - 84:59:00]:  a mesma hora, os mesmos de sempre, pedrem o que se ia, João Miguel Tavarse
[84:59:00 - 85:04:00]:  e a dona Alzira Eura-Uespreira.
[85:04:00 - 85:15:40]:  [risos]
[85:15:40 - 86:04:00]:  [música]
