[00:00:00 - 00:11:32]:  Esta semana João Miguel Tavaros de Clara Sementico, Ricardo Borous para a Era Centro Fox,
[73:22:40 - 73:29:20]:  Só com o seu patrão, por fortoso, porque agora algo parece por causa dele.
[73:29:20 - 73:34:20]:  Pessoas como ele vai ter de pagar 700 milhões de dólares.
[73:34:20 - 73:44:20]:  E por muito milionário que um proprietário do Cadêia TV, vocês já não se foram acordo.
[73:44:20 - 73:52:40]:  Foi um acordo, eu imaginei 700 milhões de dólares custo sempre para pagar.
[73:52:40 - 74:01:00]:  Por causa de lastad de coisas javadas e descapeladas que este senhor ainda não diz.
[74:01:00 - 74:07:40]:  São uma frase importante, porque dá um profe facto de ter investidas da semana a confirmação formal
[74:07:40 - 74:14:20]:  porque Joe Biden vai mesmo requerir de estar essa casa branca.
[74:14:20 - 74:26:00]:  Que lações é que tira do facto, cada vez ser mais provável,
[74:26:00 - 74:34:20]:  é um correo eleitoral entre anciãos para a casa branca.
[74:34:20 - 74:46:00]:  É difícil comentar isso sem parecer ida vista, mas de fato não passaram 4 anos.
[74:46:00 - 74:54:20]:  E é um pouco inquietante que nos passam dos dois principais partidos,
[74:54:20 - 75:04:20]:  não hemos fortes como não surgiram, como perspectivas eleitorais fortes.
[75:04:20 - 75:11:00]:  Isso é muito inquietante para a Política Americana e para a granação da Política Americana.
[75:11:00 - 75:19:20]:  Eu posso representar uma derrota de vida dismo,
[75:19:20 - 75:29:20]:  João Miguel Tavaresou, será que a casa de falta de visualidade e de falta de renovação na Política Americana?
[75:29:20 - 75:31:00]:  O que é que provalece?
[75:31:00 - 75:39:20]:  Eu acho que por um lado é mil, e apostar numa carta certa.
[75:39:20 - 75:46:00]:  É em geral, quando um presidente se requer a unidade, ele volta a ser reeleito.
[75:46:00 - 75:49:20]:  Se for contador no alto, não.
[75:49:20 - 75:52:40]:  Eu acho que nunca tinha este edembro, nunca tivesse este edembro.
[75:52:40 - 76:12:40]:  Deixe-me só acrescentar ainda a propósito do tema Javardos que tentam instituir tírias da conspiração de famatórias sobre o Instituto de Resultados Iléiturais,
[76:12:40 - 76:21:00]:  que não eles convenhem numa democracia, que já irão sonar, que também faz parte desse grupo,
[76:21:00 - 76:27:40]:  esta semana chamada a falar da Polícia Federal Brasileira disse,
[76:27:40 - 76:36:00]:  "Não é o realmente pública em um vídeo nas minhas redes sociais que ponham em causa a legalidade dos resultados iléiturais".
[76:36:00 - 76:41:00]:  Estava medicado, porque não foi um remédio.
[76:41:00 - 76:56:00]:  É a primeira coisa que eu faço, quando tomo um remédio, voou a Bula, ver nos ifeitos escondários, até são que isto pode fazer figuras ridículas no Twitter.
