[00:00:00 - 00:06:44]:  Esta semana, Ricardo Oroespreira confessa-se ilegal.
[58:28:14 - 58:29:54]:  O venta é a gente.
[58:29:54 - 58:31:34]:  O venta é a gente.
[58:31:34 - 58:33:14]:  É uma pessoa que vai pro filing.
[58:33:14 - 58:38:14]:  Sim, pessoa que sabe, polícias, sim, palavra, exerce-me a mão.
[58:38:14 - 58:39:54]:  Vamo ter essa acheta da manhã.
[58:39:54 - 58:43:14]:  Mas, ainda por cima, eu não estava só na casa.
[58:43:14 - 58:44:54]:  Que marxa.
[58:44:54 - 58:46:34]:  E marxa.
[58:46:34 - 58:49:54]:  Então eu não estava interne.
[58:49:54 - 58:53:14]:  Eu não estava só na casa, porque o justo estava lá, a menina é...
[58:53:14 - 58:54:54]:  É filha.
[58:54:54 - 58:56:34]:  Quer dizer, estava um tanto com o...
[58:56:34 - 58:58:14]:  Com o ouvido de tabá.
[58:58:14 - 58:59:54]:  A menina não abre a portastereia.
[58:59:54 - 59:01:34]:  A menina não abre a portastereia.
[59:01:34 - 59:06:34]:  A menina não se é como parece que ser o de casa
[59:06:34 - 59:09:54]:  passou pela polícia, mas a polícia não reconheceu.
[59:09:54 - 59:13:14]:  A atenção é o orquimbo que possa dar a buscas policiais.
[59:13:14 - 59:16:34]:  Não abre a portastereia.
[59:16:34 - 59:19:54]:  O parabéns é o Rio de Rio.
[59:19:54 - 59:23:14]:  Mas agora, pega aí, agora vem a indignação.
[59:23:14 - 59:26:34]:  A minha indignação é que o Defender do Rio...
[59:26:34 - 59:28:14]:  Não, não acontece.
[59:28:14 - 59:31:34]:  É contra a menina na turguês, o Defender do Rio.
[59:31:34 - 59:33:14]:  E eu Defender do Rio.
[59:33:14 - 59:39:54]:  O Defender é o Rio aqui há uma semana.
[59:39:54 - 59:43:14]:  Porque realmente é inadmissível.
[59:43:14 - 59:44:54]:  É o Defender do Rio.
[59:44:54 - 59:46:34]:  É o Defender do Rio.
[59:46:34 - 59:48:14]:  Não, mas não é intervista.
[59:48:14 - 59:51:34]:  Mas não é o Defender do Rio.
[59:51:34 - 59:53:14]:  Eu Defender do Rio.
[59:53:14 - 59:58:14]:  Mas isso foi naquela altura em que eu achava realmente...
[59:58:14 - 60:03:14]:  Que realmente a televisão chegou antes da polícia.
[60:03:14 - 60:08:14]:  Olha o agora, que começa a ler.
[60:08:14 - 60:11:34]:  As televisões chegaram às 10 da menina.
[60:11:34 - 60:16:34]:  E a polícia estava lá, a bater desde na sete da menina.
[60:16:34 - 60:19:54]:  O tanto de sua homem esteve.
[60:19:54 - 60:23:14]:  O seu polícia teve a bater a porta.
[60:23:14 - 60:24:54]:  E eu ganho três horas.
[60:24:54 - 60:28:14]:  É normal que alguém, alguma instação de polivisão,
[60:28:14 - 60:29:54]:  tem ouvido.
[60:29:54 - 60:36:34]:  E portanto, toda aquilo, aqui o Transformoso de justa indignação,
[60:36:34 - 60:41:34]:  é injusta, paneçada de Rio.
[60:41:34 - 60:44:54]:  É paneçada.
[60:44:54 - 60:53:14]:  Se a polícia chegou e a televisão só chegaram três horas depois.
[60:53:14 - 60:58:14]:  Tudo o que eu corri, onde eu lhe enfazer.
[60:58:14 - 60:59:54]:  É ridículo.
[60:59:54 - 61:01:34]:  Se fosse só isso, é ridículo.
[61:01:34 - 61:03:14]:  Se fosse só isso.
[61:03:14 - 61:06:34]:  O problema é que ele depois dá o salto para...
[61:14:06 - 61:16:14]:  Não, esclare!
[61:16:14 - 61:19:34]:  É aplô Rolling!
[61:19:34 - 61:26:34]:  É o Brasil, masente no Brasil, tomato...
[61:26:34 - 61:31:12]:  O caso, antes dela andou longe,
[61:31:12 - 61:34:04]:  eu já pensava de suيا!
[61:34:04 - 61:38:50]:  Ooo, então, sack o que?
[61:38:50 - 61:40:58]:  É Mmmm!
[61:40:58 - 61:44:54]:  Mas claro...
[61:44:54 - 61:45:46]:  É, almeger entre os dois
[61:45:46 - 61:48:50]:  pra vivem живos.
[61:48:50 - 61:54:36]:  E outrageous chave leveres!
[61:54:44 - 62:02:14]:  O crime que foi praticado em direto, a vilação do Cere destista,
[62:02:14 - 62:05:34]:  toda a gente, o poder,
[62:05:34 - 62:10:04]:  também os meios dos ados
[62:10:04 - 62:20:44]:  e os objetivos e as inteligências praticadas
[62:20:44 - 62:24:04]:  foram da tal invurgadora
[62:24:04 - 62:29:14]:  que os princípios da necessidade
[62:29:14 - 62:33:04]:  e os princípios da proporcionalidade
[62:33:04 - 62:36:14]:  vêm amende de qualquer um.
[62:38:04 - 62:45:44]:  O crime, de ser exigindo explicações à procurador a Jal da República
[62:45:44 - 62:47:44]:  que falou, entretanto,
[62:47:44 - 62:50:54]:  em exclusivo a síc,
[62:50:54 - 62:56:44]:  para dizer isto, numa tarde ventosa.
[62:56:44 - 63:03:04]:  A procurador a Jal não despasa processos,
[63:03:04 - 63:10:54]:  a procurador a Jal não define estratégias investigatórias,
[63:10:54 - 63:15:54]:  nem os seus tempos, nem os seus modos,
[63:15:54 - 63:18:04]:  consequentemente,
[63:18:04 - 63:23:14]:  esse processo, como uma viagem de todos os gestantes,
[63:23:24 - 63:26:44]:  tem titulares,
[63:26:44 - 63:31:24]:  tem mas trato de responsáveis de boa investigação
[63:31:24 - 63:36:54]:  que obviamente seguirão uma linha
[63:36:54 - 63:42:04]:  e polão em prática.
[63:42:04 - 63:44:14]:  É isso, por si?
[63:44:14 - 63:48:54]:  Fará com esta informação que o PES fez de cá.
[63:48:54 - 63:54:04]:  O Icerão Álvo de Companhamento e Analis
[63:54:04 - 63:59:34]:  como aliás todas as notícias,
[63:59:34 - 64:01:34]:  como imagina,
[64:01:34 - 64:04:04]:  me chegam diariamente,
[64:04:04 - 64:08:44]:  e serão ponderadas, serão analisadas
[64:08:44 - 64:12:34]:  e serão, se for o caso,
[64:12:44 - 64:18:54]:  Álvo de anudidas registrinárias adequadas
[64:18:54 - 64:22:24]:  se mexerem essa apreciação,
[64:22:24 - 64:25:04]:  não sei se merece, naturalmente.
[64:25:04 - 64:32:14]:  A procurador e tudo aquilo que logo se verá,
[64:32:14 - 64:33:54]:  se for o caso,
[64:33:54 - 64:39:04]:  e o que não é da sua responsabilidade,
[64:39:04 - 64:40:34]:  também,
[64:40:34 - 64:44:34]:  fico os que lá precisam recargar hoje para a era.
[64:44:34 - 64:45:44]:  Fiquei.
[64:45:44 - 64:48:44]:  Eu gosto de quando as pessoas dizem,
[64:48:44 - 64:51:44]:  eu refiro agora uma carta de PST,
[64:51:44 - 64:53:44]:  vou ler como está atenção,
[64:53:44 - 64:56:04]:  uma vez na fã de o livro,
[64:56:04 - 64:59:34]:  um colega meu deu ao Marisso Arson,
[64:59:44 - 65:02:24]:  um jornal da escola,
[65:02:24 - 65:04:34]:  e o Marisso Arson é esse,
[65:04:34 - 65:06:34]:  vou ler como está atenção,
[65:06:34 - 65:09:14]:  e fez assim para trás,
[65:09:14 - 65:11:34]:  fez assim para trás,
[65:11:34 - 65:14:44]:  e alguma assessor qualquer que foi passando
[65:14:44 - 65:17:54]:  para uma assessor cada vez mais pequeno.
[65:17:54 - 65:21:44]:  E foi isso,
[65:21:44 - 65:23:34]:  e portanto, acho que é isto,
[65:23:34 - 65:27:04]:  que vai acontecer a carta do PST,
[65:27:04 - 65:28:34]:  mas o ainda estufe,
[65:28:34 - 65:31:54]:  fixo naquela é que reparem
[65:31:54 - 65:35:04]:  a abenegação da Polícia Audiciária,
[65:35:04 - 65:36:44]:  7a manhã,
[65:36:44 - 65:42:24]:  7a e 5a,
[65:42:24 - 65:47:04]:  7a e 20a,
[65:47:04 - 65:51:14]:  8 e 40,
[65:51:14 - 65:57:34]:  - Deixou de 20a, 8 e 40a,
[65:57:34 - 65:59:24]:  não que deu nada.
[65:59:24 - 66:01:34]:  - Não acho que ou seja,
[66:01:34 - 66:03:24]:  vou te ver a uma parbaixo,
[66:03:24 - 66:04:34]:  ficaram lá a porta,
[66:04:34 - 66:06:14]:  ficaram a porta do outro,
[66:06:14 - 66:07:34]:  a ver se o que fez,
[66:07:34 - 66:09:04]:  para esperar,
[66:09:04 - 66:10:04]:  realmente,
[66:10:04 - 66:13:04]:  e esta história é como a pessoa,
[66:13:04 - 66:15:24]:  para tomar de cara a porta,
[66:15:24 - 66:16:34]:  eu estou a dormir,
[66:16:34 - 66:18:24]:  deixe-me levantar,
[66:18:24 - 66:20:04]:  só um minuto,
[66:20:04 - 66:22:44]:  que eu vou levantar a tomar banho,
[66:22:44 - 66:24:34]:  vestido,
[66:24:34 - 66:27:44]:  5, 10 minutos,
[66:27:44 - 66:29:34]:  15,
[66:29:34 - 66:31:24]:  3 horas,
[66:31:24 - 66:33:04]:  eu sei se ele fez isso.
[66:33:04 - 66:34:24]:  - Eu moro muito,
[66:34:34 - 66:37:14]:  se esquece de refogir esse peso,
[66:37:14 - 66:38:24]:  como nós,
[66:38:24 - 66:41:24]:  eu vou explicar que tudo no momento que vi está assim,
[66:41:24 - 66:44:24]:  esqueça de que eu faguei esse pequeno para o menor,
[66:44:24 - 66:46:04]:  e eu vou outra coisa que foi,
[66:46:04 - 66:47:44]:  - Gandatangas,
[66:47:44 - 66:49:24]:  - ouvoi,
[66:49:24 - 66:50:14]:  eu vou outra coisa,
[66:50:14 - 66:51:54]:  - pois eu não volto a defender coisas.
[66:51:54 - 66:54:04]:  - A estrosa para Rui Rui,
[66:54:04 - 66:55:14]:  que foi,
[66:55:14 - 66:57:24]:  já só que eu te vou defender,
[66:57:24 - 66:59:44]:  e sei sempre,
[66:59:44 - 67:02:34]:  está sempre com a abenegação de uma pessoa.
[67:02:34 - 67:04:34]:  - Entretanto,
[67:04:34 - 67:07:44]:  com estas explicações
[67:07:44 - 67:11:14]:  da procuradora,
[67:11:14 - 67:14:34]:  com as declarações,
[67:14:34 - 67:15:44]:  algo estantíssimo,
[67:15:44 - 67:18:44]:  pode dizer que,
[67:18:44 - 67:23:34]:  que está aberta a uma guerra entre o poder judicial
[67:23:44 - 67:25:14]:  e o poder político.
[67:25:14 - 67:28:44]:  - Pois essa guerra é a mais ideia,
[67:28:44 - 67:32:24]:  porque é uma guerra onde nós percebemos
[67:32:24 - 67:36:54]:  que tem quase sempre algo anubico,
[67:36:54 - 67:38:24]:  propossado,
[67:38:24 - 67:41:14]:  após percenta, após futuro,
[67:41:14 - 67:45:04]:  quando tem intenções
[67:45:04 - 67:50:44]:  dos vários partidos e dos vários agentes partidários,
[67:50:44 - 67:51:44]:  mas deve dizer,
[67:51:44 - 67:56:34]:  eu que não sei que eu percei uma data de uma marquifeta,
[67:56:34 - 67:59:44]:  mas não soube uma de um viúvidola de uma marquifeta,
[67:59:44 - 68:01:14]:  deve dizer,
[68:01:14 - 68:03:04]:  - Eu sei.
[68:03:04 - 68:04:04]:  - Esta tese,
[68:04:04 - 68:06:14]:  esta tese,
[68:06:14 - 68:11:14]:  que vamos ouvir é que é totalmente indifíente,
[68:11:14 - 68:13:04]:  que é a PGR.
[68:13:14 - 68:15:54]:  Não faz diferença nenhuma.
[68:15:54 - 68:17:54]:  Se eu ou dos outros nios,
[68:17:54 - 68:23:04]:  não há uma marca que ela está a dizer,
[68:23:04 - 68:24:54]:  é uma evidência,
[68:24:54 - 68:26:34]:  que é não real,
[68:26:34 - 68:30:04]:  que está agora,
[68:30:04 - 68:34:14]:  que nós sabemos que é falso,
[68:34:14 - 68:38:14]:  pensando na história de uma marca modal e nos anteriores,
[68:38:14 - 68:39:44]:  sabemos que é falso,
[68:39:44 - 68:40:54]:  dizer,
[68:40:54 - 68:42:34]:  é indifíente que ela está,
[68:42:34 - 68:44:14]:  não é,
[68:44:14 - 68:45:14]:  se quererem,
[68:45:14 - 68:47:44]:  é indifíente ela está lá,
[68:47:44 - 68:49:34]:  mas eu,
[68:49:34 - 68:50:44]:  honestamente,
[68:50:44 - 68:54:24]:  não parece que o ataque a ministério público
[68:54:24 - 68:57:24]:  seja o problema de uma,
[68:57:24 - 69:01:24]:  um caminho recomendável para classe política.
[69:01:34 - 69:05:04]:  Está espocecido porque o João Miguel está a Varge,
[69:05:04 - 69:08:24]:  nos aparece a porta,
[69:08:24 - 69:12:44]:  quando o Ricardo Raúzo Pereira diz sentir-se,
[69:12:44 - 69:13:54]:  e legal,
[69:13:54 - 69:16:24]:  e já não é a primeira vez para os vestidos, não é?
[69:16:24 - 69:17:14]:  Não,
[69:17:14 - 69:19:34]:  - Ou que está aqui em causa,
[69:19:34 - 69:24:04]:  são duas decisões do Tribunal Constitucional,
[69:24:04 - 69:28:54]:  uma considerando de inválido o último Conselho Nacional do Checa,
[69:28:54 - 69:33:34]:  a outra é o baguano de partida ria de metrôme litantes,
[69:33:34 - 69:36:44]:  púlso por delíteo do opinião,
[69:36:44 - 69:43:24]:  não sei por onde será mais adequado do pegar,
[69:43:24 - 69:45:04]:  mas temos pouco tempo.
[69:45:04 - 69:46:54]:  Muitante púlso foi,
[69:46:54 - 69:51:24]:  ele foi púlso porque disse que o André Ventura se tinha burguzado.
[69:51:24 - 69:54:54]:  O meu ouvido Ventura sendo um democrata para quem,
[69:54:54 - 69:56:14]:  a liberdade de pressão,
[69:56:14 - 69:59:34]:  é uma vola fundamental, expulsou.
[69:59:34 - 70:04:14]:  - E o Tribunal Constitucional também tomou uma decisão que invalida.
[70:04:14 - 70:06:54]:  - É eleição da atual direção.
[70:06:54 - 70:09:44]:  - Na mesma semana,
[70:09:44 - 70:14:34]:  sou preciso que o Tribunal Constitucional abriga a reintegração
[70:14:34 - 70:16:04]:  deste militante,
[70:16:04 - 70:22:54]:  que o Tribunal Constitucional declara inválido o último Conselho Nacional
[70:22:54 - 70:28:34]:  e que estes tritais dos chegas tão sem eleições há quatro anos
[70:28:34 - 70:33:54]:  e partidos têm em comprimento dos estatutos.
[70:33:54 - 70:34:44]:  Portanto,
[70:34:44 - 70:36:24]:  - Comprei-la,
[70:36:24 - 70:41:14]:  - E que é o Partido que já motivou mais que estas outras...
[70:41:14 - 70:43:24]:  - Comprei-la,
[70:43:24 - 70:46:04]:  - Para chegue, é muito complicado.
[70:46:04 - 70:48:34]:  - Exce-se a tolê da rola.
[70:48:34 - 70:54:04]:  - A lei da rola é a única que é comprida e infelizmente essa não conta.
[70:54:04 - 70:56:04]:  - Também é para se teranzar.
[70:56:04 - 71:03:24]:  - Já sabemos porque o Ricardo Aros parece declarar ele legal.
[71:03:24 - 71:08:14]:  Agora, vamos tentar perceber porque o Pedro Mexia,
[71:08:14 - 71:14:04]:  se não se é burgum e por que posserei para citar ter ra...
[71:14:04 - 71:15:34]:  - Sim, que é.
[71:15:34 - 71:17:14]:  - Que os burgões...
[71:17:14 - 71:19:24]:  - Dos nomes...
[71:19:24 - 71:22:24]:  - Que não aprendem a espeza.
[71:22:24 - 71:26:14]:  - E a deusa parte de ministra português...
[71:26:14 - 71:29:04]:  - Eu vi que o Partido de Bum...
[71:29:14 - 71:33:14]:  - É a frase da Irrana.
[71:33:14 - 71:34:04]:  - Sim.
[71:34:04 - 71:38:14]:  - Os burgões não aprendem a esquecer.
[71:38:14 - 71:39:34]:  - Não aprendem a esquecer.
[71:39:34 - 71:41:44]:  - Eu partido de ministras das partes assim.
[71:41:44 - 71:43:24]:  Quando eu vi que o Partido de Bum,
[71:43:24 - 71:47:44]:  - Eu tinha abistido no voto de pesar.
[71:47:44 - 71:50:24]:  - Portanto, um voto de pesar.
[71:50:24 - 71:55:04]:  - Para a morte, um dos grandes romancistas europeus...
[71:55:04 - 71:57:04]:  - O que onde era disse,
[71:57:04 - 72:00:44]:  - É isso, foi claramente um voto de pesar.
[72:00:44 - 72:03:44]:  - É apresentar de plochega,
[72:03:44 - 72:10:24]:  - É dizer grande lutador anticonunista e o pecer não podia votar isto.
[72:10:24 - 72:12:24]:  - Depois eu fui ver...
[72:12:24 - 72:17:24]:  - E era um voto de pesar apresentar de plo pan, que dizia.
[72:17:54 - 72:23:34]:  - Os grandes autores do século 20 deixou um lugar único.
[72:23:34 - 72:28:14]:  - Está que se o seu romance nem se sentava a vez a do ser.
[72:28:14 - 72:31:04]:  - E era muito amigo dos animais.
[72:31:04 - 72:36:54]:  - Mas, como tinha lá o nome dela, com dera,
[72:36:54 - 72:45:34]:  - O pecer decidiu obter, sendo que quem...
[72:45:34 - 72:57:34]:  - Saber, pensa "Ah, mas com dera, um anticonunista furioso, um dissidenta, etc."
[72:57:34 - 73:01:04]:  - O com dera foi comunista até...
[73:01:04 - 73:03:44]:  - Até...
[73:03:44 - 73:06:44]:  - Viver em Paris, basicamente.
[73:06:54 - 73:09:24]:  - Até que se isolar.
[73:09:24 - 73:12:44]:  - Antes da... Na altura da primeira vez.
[73:12:44 - 73:14:24]:  - Era crítica.
[73:14:24 - 73:17:04]:  - Já... Já... Já que sou de ser, né?
[73:17:04 - 73:18:54]:  - Não, mas eu que ele dizia...
[73:18:54 - 73:20:14]:  - Ele dizia...
[73:20:14 - 73:22:04]:  - Não há algumas entrevistas, ele diz...
[73:22:04 - 73:27:54]:  - Não sei o que seria a experiência checa,
[73:27:54 - 73:30:34]:  se não tivesse a vida em basão algum.
[73:30:34 - 73:31:34]:  - Portanto...
[73:31:34 - 73:33:04]:  - E ele...
[73:33:04 - 73:36:34]:  - Zangou several vezes com Ávail,
[73:36:34 - 73:38:24]:  - Depois do presidente...
[73:38:24 - 73:41:04]:  - Por... Por... Por... Por... Por... Por...
[73:41:04 - 73:44:24]:  - Estratégias diferentes de crítica...
[73:44:24 - 73:49:14]:  - Não foi provavelmente... Não fichou o próprio fim da...
[73:49:14 - 73:51:44]:  - Daquero do Mordor Brilhí.
[73:51:44 - 73:56:44]:  - Quando voltou a checo a estilava, que achou aquilo todo mundo americano e záb...
[73:56:44 - 74:03:04]:  - O... O... O... O Condera não é um prego de reacionário,
[74:03:04 - 74:07:24]:  - Nunca foi... Era um... De facto, foi um comunista
[74:07:24 - 74:11:14]:  - Que se tornou crítico do comunismo da Chegóis Lavaghe.
[74:11:14 - 74:13:14]:  - Isso é indiscutível.
[74:13:14 - 74:15:14]:  - Também é indiscutível.
[74:15:14 - 74:17:24]:  - Aqui é um dos grandes critos europeus.
[74:17:24 - 74:22:34]:  - E... E o PC que faz festanto...
[74:22:34 - 74:25:14]:  - Festante de Scarceau.
[74:25:14 - 74:28:44]:  - E com o razão, quando, por exemplo, um...
[74:28:44 - 74:31:54]:  - Um escrito como José Saramago ou outro,
[74:31:54 - 74:36:24]:  - No... No... Na morte, não foi devidamente reconhecido
[74:36:24 - 74:40:44]:  - Para pessoas do... Do outro quadrão político.
[74:40:44 - 74:44:14]:  - E tem a razão que ainda apontou isso.
[74:44:54 - 74:48:24]:  - Mas, nesta, as autoridades têm que ser um voto de pesar,
[74:48:24 - 74:54:14]:  - Um voto de pesar, um senhor que era um desgranzo de autores de século 20,
[74:54:14 - 74:57:44]:  - Ache um lugar único, destaca sem o estil,
[74:57:44 - 75:00:14]:  - A vez o do senhoríquo estava da animais.
[75:00:14 - 75:02:14]:  - Será para os animais?
[75:02:14 - 75:03:54]:  - Homem de por isso.
[75:03:54 - 75:05:34]:  - Só isso foi isso.
[75:05:34 - 75:10:34]:  - Bom, já que estamos a falar de um grande escritor,
[75:10:34 - 75:16:04]:  - Estava na altura dos livros e eu trago esta semana.
[75:16:04 - 75:23:04]:  - Um pequeno livro muito propriedo, é esta época do ano,
[75:23:04 - 75:29:24]:  - Agora que chegou o período das férias, para a maior parte das pessoas,
[75:29:24 - 75:34:24]:  - O próprio Parlamento, foi de férias esta semana,
[75:34:34 - 75:42:44]:  - Já comentamos, e o livro que trago é uma história do reposo,
[75:42:44 - 75:49:04]:  - Desengando em ser que eles pensam que a ideia de reposo,
[75:49:04 - 75:54:14]:  - Manteia final terá ao longo dos tempos, mudou,
[75:54:14 - 75:59:24]:  - E mudou muito o exturidor, alancorba,
[75:59:24 - 76:05:44]:  - Traça neste livro a evolução que o conceito reposo,
[76:05:44 - 76:11:34]:  - Sofreu ao longo da história, desde que Deus,
[76:11:34 - 76:19:24]:  - De acordo com a narrativa bíblica, reposo ao sete de dia,
[76:20:04 - 76:28:14]:  - A antigüidade remitia o reposo para a vida eterna, para o reposo eterna,
[76:28:14 - 76:33:14]:  - Mas, proversivamente, no final, foi ganhando terreno,
[76:33:14 - 76:38:14]:  - Aponte de se tornar um assunto político,
[76:38:14 - 76:46:14]:  - A partir de 1000 anos de século 19, foi nessa altura que surgiu a exigência de férias pagues,
[76:46:14 - 76:51:34]:  - E, alancorba, chama ao período que vai de 1000 anos,
[76:51:34 - 76:55:54]:  - Do século 19, 1000 anos, do século 20,
[76:55:54 - 76:59:34]:  - O século do reposo, de humilhadamente,
[76:59:34 - 77:08:04]:  - Com a criação dos sanatórios e com a invenção do reposo terapéutico,
[77:08:14 - 77:11:24]:  - Para a cura da tuberculose,
[77:11:24 - 77:16:24]:  - Ultimamente explica o autor deste livro,
[77:16:24 - 77:22:14]:  - No mundo terbidante, em que vivemos o laser,
[77:22:14 - 77:26:54]:  - Veio substituir o reposo, ou seja,
[77:26:54 - 77:31:04]:  - Deixamos de saber estar quietos,
[77:31:04 - 77:34:44]:  - É muito interessante esta história,
[77:34:44 - 77:39:44]:  - O reposo de alancorba, edição Quetzal,
[77:39:44 - 77:46:24]:  - O João Milho está a vars, também traz a história, mas da alimentação.
[77:46:24 - 77:51:24]:  - Exato, chama-se História Global da Alimentação Portuguesa,
[77:51:24 - 77:56:04]:  - Digui de ser mais um projeto dirigente pelo G. Eduardo Ferrent,
[77:56:14 - 78:00:14]:  - Esse caso com a cura da Isabel de Gumaum-Braga,
[78:00:14 - 78:03:14]:  - E são sem tíumas entradas,
[78:03:14 - 78:06:04]:  - Sobre relacionadas com a mesa,
[78:06:04 - 78:11:54]:  - Tanto comida, comida, com vida,
[78:11:54 - 78:15:14]:  - E não este facto passamos boa parte da nossa vida,
[78:15:14 - 78:19:24]:  - Faz a guixto, mas muitas vezes não reflectimos
[78:19:24 - 78:24:14]:  - A história da comida e como é que as coisas chegaram,
[78:24:14 - 78:27:34]:  - Como chegaram hoje à nossa mesa,
[78:27:34 - 78:32:24]:  - E portanto é muito interessante,
[78:32:24 - 78:37:44]:  - Tem muitas entradas, obos não sabem de salimentais,
[78:37:44 - 78:42:44]:  - Desde vai, desde o século 12, até ao presente,
[78:42:54 - 78:52:44]:  - Apenas coisas como qual foi a primeira receita portuguesa de que é registro,
[78:52:44 - 78:56:04]:  - Descubri que é o manjar branco,
[78:56:04 - 79:01:54]:  - No século 14, que é uma das minhas chubras mesas favoritas,
[79:01:54 - 79:06:04]:  - Não sei se é minha, minha faz isso muito bem.
[79:06:04 - 79:09:24]:  - E...
[79:09:24 - 79:11:54]:  - Asetamos o convite.
[79:11:54 - 79:16:04]:  - Sim, muito bem, olha três, já soube.
[79:16:04 - 79:22:44]:  - E também é entrada a shop sal, mel, caixa, chuclato,
[79:22:44 - 79:29:24]:  - Cafénsa que vai já caça, é realmente muito interessante,
[79:29:24 - 79:31:54]:  - Uma boa leitura de fês.
[79:32:04 - 79:39:04]:  - O Pedro Messia traz um autor de esquerda,
[79:39:04 - 79:41:54]:  - Acho que vai ser sobre a direita.
[79:41:54 - 79:45:14]:  - Sim, na verdade, esse livro tem um trilhante linkerador,
[79:45:14 - 79:47:44]:  - Porque, se é uma escultura direita,
[79:47:44 - 79:51:04]:  - E não só o autor da direita, mas ele é o Lian,
[79:51:04 - 79:55:14]:  - Como que eu ouviás jovens, chamado Furio Jesse,
[79:55:14 - 79:58:34]:  - Um livro de 79,
[79:58:34 - 80:02:24]:  - E na verdade, a escultura de extrema direita,
[80:02:24 - 80:04:34]:  - Só que, sob os autores reacionários,
[80:04:34 - 80:06:14]:  - O Évola,
[80:06:14 - 80:10:14]:  - O Eliáve, certo, a medida, etc.
[80:10:14 - 80:12:44]:  - E é um alguém que,
[80:12:44 - 80:20:14]:  - Concedor dos mitos e das mitogias, que ele distingua as duas coisas,
[80:20:24 - 80:27:44]:  - Vai estudar essa direita que ele já está em ressurgimento agora,
[80:27:44 - 80:30:44]:  - Em vários países,
[80:30:44 - 80:35:14]:  - No seu em 4 a 5 categorias, que vai ser muito útil,
[80:35:14 - 80:41:04]:  - Até para compreender as rezes filosóficas dessa direita,
[80:41:04 - 80:46:54]:  - O culto monótico do passado, o culto dos mortes,
[80:46:54 - 80:51:24]:  - O que eles chamam os valores com maiúsculas,
[80:51:24 - 80:57:44]:  - Embora, como ele diz, muitas dessas coisas passaram para a cultura,
[80:57:44 - 81:04:24]:  - E não são apenas direita, díria que liberdade, igualdade e fraternidade,
[81:04:24 - 81:08:14]:  - Em maiúsculas bastante pronunciadas.
[81:08:24 - 81:13:14]:  - O Ricardo Espereira, que veio da estrangeira,
[81:13:14 - 81:16:34]:  - Diz um livro em estrangeira.
[81:16:34 - 81:19:54]:  - Isso é um engenho da Jérgira.
[81:19:54 - 81:22:04]:  - Se acionou mesmo.
[81:22:04 - 81:26:34]:  - Se acionou mesmo, tivemos nos tranjeiros, troço um engenho,
[81:26:34 - 81:29:54]:  - Que se chama Lefty's not woke,
[81:29:54 - 81:34:04]:  - Ou seja, a esquerda não é woke.
[81:34:04 - 81:39:54]:  - De Susan Nyman, que é uma filósofa americana que vivem.
[81:39:54 - 81:46:34]:  - E professora da doutora aliá, que vivem.
[81:46:34 - 81:49:54]:  - Não, não, assim, a americana que vivem.
[81:49:54 - 81:51:44]:  - É mais assim, é isso,
[81:51:44 - 81:58:14]:  - É mais uma pessoa de esquerda que está meio exesperada.
[81:58:14 - 82:01:54]:  - Com isto, somos poucos, mas bons.
[82:01:54 - 82:04:44]:  - Aliás, ela diz que tem vários amigos que dizem,
[82:04:44 - 82:08:54]:  "Vou lá, é tomas a esquerda este, será que eu já não sou de esquerda?"
[82:08:54 - 82:13:04]:  - E ela tranquilizou-se, e com a razão dizendo, "Não, calma,
[82:13:04 - 82:16:24]:  - Ele vai mudar, não fosse de tu".
[82:16:24 - 82:25:34]:  - E porcento, ela diz que há valores da esquerda que não são os valores ou,
[82:25:34 - 82:31:04]:  - O que é de explocontrário, ou seja, a ideia de universalismo,
[82:31:04 - 82:36:24]:  - Em vez de tribalismo, tem um valor central da esquerda.
[82:36:24 - 82:39:44]:  - A gente tem falado várias essas coisas aqui.
[82:39:44 - 82:42:14]:  - Talvez ela tem ouvido algo.
[82:42:14 - 82:44:44]:  - Existem isso, sim.
[82:44:54 - 82:49:44]:  - Fazer uma distinção forte entre justiça e poder,
[82:49:44 - 82:53:24]:  - Também é um valor da esquerda, não é um valor boa,
[82:53:24 - 82:58:54]:  - O que é de explocontrário, uma crença na possibilidade do progresso,
[82:58:54 - 83:03:04]:  - E ela, depois no fim, acaba o livro dizendo, "Vou contar o fim".
[83:03:04 - 83:11:24]:  - É, porcento, spoiler, que ela conversa com um amigo que é um ativista indiano,
[83:11:24 - 83:16:24]:  - Um autor e ativista indiano que concorda com ele e dizem,
[83:16:24 - 83:24:44]:  - Na que sentava um quarto, que é um empenho, digamos, um compromisso com a dúvida.
[83:24:44 - 83:33:04]:  - A esquerda, ou seja, a esquerda é essa ideia de antidogmatismo
[83:33:14 - 83:38:04]:  - Que o zool que curiosamente não tem.
[83:38:04 - 83:44:44]:  - Deixa-me só dizer que é a esperança, porque é essa semana o vozes em Coimbra,
[83:44:44 - 83:48:04]:  - E dizer "cuidado com o ouquismo".
[83:48:04 - 83:52:14]:  - Porra, não está a mesma razão com qualquer específico,
[83:52:14 - 83:54:44]:  - Talvez, talvez, talvez.
[83:54:44 - 84:01:24]:  - Léfter só o zool que, assim se conclui mais uma rião em o seminal,
[84:01:24 - 84:08:04]:  - Dois oito dias, a mesma hora, ou qualquer altura em podcast,
[84:08:04 - 84:11:24]:  - Volta uns mesmos de sempre,
